Role	id	Number	Median	Mean	P10	P20	P25	P30	P40	P60	P70	P75	P80	P90
Managers, directors and senior officials	1	57	721.0	841.3	240.4	382.6	432.2	500.0	631.7	823.3	1,011.5	1,094.1	1,149.9	x
  Corporate managers and directors	11	44	785.1	911.6	316.6	444.4	507.8	577.3	696.0	909.8	1,066.4	1,136.4	1,197.9	x
    Chief executives and senior officials	111	x	x	x	x	x	x	x	x	x	x	x	x	x
      Chief executives and senior officials	1115	x	x	x	x	x	x	x	x	x	x	x	x	x
      Elected officers and representatives	1116	x	x	x	x	x	x	x	x	x	x	x	x	x
    Production managers and directors	112	10	950.0	1,016.6	x	x	x	x	782.0	1,014.4	x	x	x	x
      Production managers and directors in manufacturing	1121	9	872.1	970.6	x	x	x	x	x	x	x	x	x	x
      Production managers and directors in construction	1122	x	x	x	x	x	x	x	x	x	x	x	x	x
      Production managers and directors in mining and energy	1123	..												
    Functional managers and directors	113	12	845.7	1,006.5	x	x	575.9	652.4	752.2	1,031.1	x	x	x	x
      Financial managers and directors	1131	x	x	x	x	x	x	x	x	x	x	x	x	x
      Marketing and sales directors	1132	x	x	850.8	x	x	x	x	x	x	x	x	x	x
      Purchasing managers and directors	1133	x	769.9	899.1	x	x	x	x	x	x	x	x	x	x
      Advertising and public relations directors	1134	..												
      Human resource managers and directors	1135	x	1,034.0	1,014.1	x	x	x	x	x	x	x	x	x	x
      Information technology and telecommunications directors	1136	..												
      Functional managers and directors n.e.c.	1139	x	748.8	726.2	x	x	x	x	x	x	x	x	x	x
    Financial institution managers and directors	115	x	817.8	846.6	x	x	x	x	x	889.1	x	x	x	x
      Financial institution managers and directors	1150	x	817.8	846.6	x	x	x	x	x	x	x	x	x	x
    Managers and directors in transport and logistics	116	x	710.9	745.7	x	x	x	x	661.2	765.7	x	x	x	x
      Managers and directors in transport and distribution	1161	x	x	746.8	x	x	x	x	x	x	x	x	x	x
      Managers and directors in storage and warehousing	1162	x	666.1	744.2	x	x	x	x	x	x	x	x	x	x
    Senior officers in protective services	117	x	1,097.2	1,062.0	x	x	x	x	x	x	x	x	x	x
      Officers in armed forces	1171	:												
      Senior police officers	1172	x	1,151.1	1,227.8	x	x	x	x	x	x	x	x	x	x
      Senior officers in fire, ambulance, prison and related services	1173	x	746.8	833.0	x	x	x	x	x	x	x	x	x	x
    Health and social services managers and directors	118	x	x	882.6	x	x	x	x	x	x	x	x	x	x
      Health services and public health managers and directors	1181	x	x	1,103.3	x	x	x	x	x	x	x	x	x	x
      Social services managers and directors	1184	x	x	x	x	x	x	x	x	x	x	x	x	x
    Managers and directors in retail and wholesale	119	7	485.0	586.8	x	338.1	376.7	381.7	422.3	514.4	x	x	x	x
      Managers and directors in retail and wholesale	1190	7	485.0	586.8	x	x	x	x	x	x	x	x	x	x
  Other managers and proprietors	12	12	484.0	586.9	225.0	x	342.7	361.6	395.9	573.3	x	x	x	x
    Managers and proprietors in agriculture related services	121	x	x	813.6	x	x	x	x	x	x	x	x	x	x
      Managers and proprietors in agriculture and horticulture	1211	x	x	813.6	x	x	x	x	x	x	x	x	x	x
      Managers and proprietors in forestry, fishing and related services	1213	:												
    Managers and proprietors in hospitality and leisure services	122	x	x	450.0	x	x	x	x	x	x	x	x	x	x
      Hotel and accommodation managers and proprietors	1221	x	x	x	x	x	x	x	x	x	x	x	x	x
      Restaurant and catering establishment managers and proprietors	1223	x	x	308.8	x	x	x	x	x	x	x	x	x	x
      Publicans and managers of licensed premises	1224	..												
      Leisure and sports managers	1225	x	x	517.7	x	x	x	x	x	x	x	x	x	x
      Travel agency managers and proprietors	1226	:												
    Managers and proprietors in health and care services	124	x	600.7	674.2	x	x	x	x	x	x	x	x	x	x
      Health care practice managers	1241	..												
      Residential, day and domiciliary  care managers and proprietors	1242	x	630.9	702.9	x	x	x	x	x	x	x	x	x	x
    Managers and proprietors in other services	125	6	450.6	639.9	x	x	352.1	365.4	x	x	x	x	x	x
      Property, housing and estate managers	1251	x	x	x	x	x	x	x	x	x	x	x	x	x
      Garage managers and proprietors	1252	x	x	x	x	x	x	x	x	x	x	x	x	x
      Hairdressing and beauty salon managers and proprietors	1253	:												
      Shopkeepers and proprietors – wholesale and retail	1254	x	x	487.9	x	x	x	x	x	x	x	x	x	x
      Waste disposal and environmental services managers	1255	:												
      Managers and proprietors in other services n.e.c.	1259	x	x	678.0	x	x	x	x	x	x	x	x	x	x
Professional occupations	2	177	668.4	687.2	334.6	460.8	500.0	531.0	592.2	725.8	771.2	799.5	833.9	1,004.6
  Science, research, engineering and technology professionals	21	37	687.6	745.0	473.7	514.1	536.6	573.8	625.0	754.1	801.3	840.8	885.2	x
    Natural and social science professionals	211	5	575.4	636.5	x	x	507.2	517.5	529.1	668.5	x	x	x	x
      Chemical scientists	2111	..												
      Biological scientists and biochemists	2112	x	x	551.5	x	x	x	x	x	x	x	x	x	x
      Physical scientists	2113	..												
      Social and humanities scientists	2114	..												
      Natural and social science professionals n.e.c.	2119	x	669.9	760.4	x	x	x	x	x	x	x	x	x	x
    Engineering professionals	212	12	706.8	794.1	479.6	513.2	580.0	595.4	627.7	800.2	870.7	x	x	x
      Civil engineers	2121	x	x	841.3	x	x	x	x	x	x	x	x	x	x
      Mechanical engineers	2122	x	646.1	763.3	x	x	x	x	x	x	x	x	x	x
      Electrical engineers	2123	x	691.2	821.4	x	x	x	x	x	x	x	x	x	x
      Electronics engineers	2124	..												
      Design and development engineers	2126	x	x	765.9	x	x	x	x	x	x	x	x	x	x
      Production and process engineers	2127	x	x	x	x	x	x	x	x	x	x	x	x	x
      Engineering professionals n.e.c.	2129	x	698.2	778.2	x	x	x	x	x	x	x	x	x	x
    Information technology and telecommunications professionals	213	18	696.3	739.5	473.3	512.5	540.8	575.0	652.1	747.4	789.6	801.5	x	x
      IT specialist managers	2133	x	x	987.8	x	x	x	x	x	x	x	x	x	x
      IT project and programme managers	2134	x	781.5	889.6	x	x	x	x	x	x	x	x	x	x
      IT business analysts, architects and systems designers	2135	x	693.9	711.6	x	x	x	x	x	x	x	x	x	x
      Programmers and software development professionals	2136	9	647.4	694.4	x	x	x	x	x	x	x	x	x	x
      Web design and development professionals	2137	x	x	502.0	x	x	x	x	x	x	x	x	x	x
      Information technology and telecommunications professionals n.e.c.	2139	x	713.1	681.8	x	x	x	x	x	x	x	x	x	x
    Conservation and environment professionals	214	x	554.3	615.7	x	x	x	x	x	x	x	x	x	x
      Conservation professionals	2141	..												
      Environment professionals	2142	x	547.1	570.3	x	x	x	x	x	x	x	x	x	x
    Research and development managers 	215	x	953.0	1,021.5	x	x	x	x	x	x	x	x	x	x
      Research and development managers	2150	x	953.0	1,021.5	x	x	x	x	x	x	x	x	x	x
  Health professionals	22	57	586.3	671.7	298.6	410.4	449.4	485.5	533.4	651.6	712.5	749.4	785.2	x
    Health professionals	221	16	752.9	966.1	376.9	492.5	524.5	552.5	665.6	842.6	x	x	x	x
      Medical practitioners	2211	7	1,241.9	1,389.1	x	x	x	x	x	x	x	x	x	x
      Psychologists	2212	x	x	823.7	x	x	x	x	x	x	x	x	x	x
      Pharmacists	2213	x	x	564.3	x	x	x	x	x	x	x	x	x	x
      Ophthalmic opticians	2214	x	694.4	704.1	x	x	x	x	x	x	x	x	x	x
      Dental practitioners	2215	..												
      Veterinarians	2216	x	x	645.9	x	x	x	x	x	x	x	x	x	x
      Medical radiographers	2217	x	x	509.6	x	x	x	x	x	x	x	x	x	x
      Podiatrists	2218	x	x	596.6	x	x	x	x	x	x	x	x	x	x
      Health professionals n.e.c.	2219	x	x	679.5	x	x	x	x	x	x	x	x	x	x
    Therapy professionals	222	5	562.9	581.2	x	x	x	433.0	513.8	620.7	x	x	x	x
      Physiotherapists	2221	x	546.6	554.2	x	x	x	x	x	x	x	x	x	x
      Occupational therapists	2222	x	533.3	580.6	x	x	x	x	x	x	x	x	x	x
      Speech and language therapists	2223	x	x	586.0	x	x	x	x	x	x	x	x	x	x
      Therapy professionals n.e.c.	2229	..												
    Nursing and midwifery professionals	223	36	551.0	555.2	280.4	382.4	426.7	460.8	518.4	604.2	651.8	673.1	701.1	x
      Nurses	2231	33	545.0	546.2	x	x	x	x	x	x	x	x	x	x
      Midwives	2232	x	626.7	648.4	x	x	x	x	x	x	x	x	x	x
  Teaching and educational professionals	23	44	725.8	682.9	276.8	497.0	537.4	615.8	704.3	762.3	x	799.5	840.3	x
    Teaching and educational professionals	231	44	725.8	682.9	276.8	497.0	537.4	615.8	704.3	762.3	x	799.5	840.3	x
      Higher education teaching professionals	2311	x	776.6	830.6	x	x	x	x	x	x	x	x	x	x
      Further education teaching professionals	2312	x	x	514.5	x	x	x	x	x	x	x	x	x	x
      Secondary education teaching professionals	2314	17	725.8	641.9	x	x	x	x	x	x	x	x	x	x
      Primary and nursery education teaching professionals	2315	13	725.8	697.0	x	x	x	x	x	x	x	x	x	x
      Special needs education teaching professionals	2316	x	782.0	733.6	x	x	x	x	x	x	x	x	x	x
      Senior professionals of educational establishments	2317	x	882.5	865.5	x	x	x	x	x	x	x	x	x	x
      Education advisers and school inspectors	2318	..												
      Teaching and other educational professionals n.e.c.	2319	x	x	x	x	x	x	x	x	x	x	x	x	x
  Business, media and public service professionals	24	39	641.9	659.1	302.5	439.3	490.5	521.9	575.5	709.1	768.3	785.1	817.0	x
    Legal professionals	241	x	576.1	690.8	x	x	x	x	x	x	x	x	x	x
      Barristers and judges	2412	..												
      Solicitors	2413	x	x	631.0	x	x	x	x	x	x	x	x	x	x
      Legal professionals n.e.c.	2419	..												
